order_placed,order_delivered
0,2022-08-01 08:06:41.346543784,2022-08-01 08:23:31.337619
1,2022-08-01 08:07:34.938402556,2022-08-01 08:23:38.968821
2,2022-08-01 08:08:01.069790706,2022-08-01 08:48:55.124299
3,2022-08-01 08:14:35.636039277,2022-08-01 08:49:39.357261
4,2022-08-01 08:19:35.254192221,2022-08-01 09:11:39.440481
5,2022-08-01 08:20:34.100985368,2022-08-01 09:16:27.236645
6,2022-08-01 08:22:44.315612184,2022-08-01 09:34:03.246571
7,2022-08-01 08:27:55.081367929,2022-08-01 09:45:23.863618
8,2022-08-01 08:30:24.599998397,2022-08-01 09:56:23.488913
9,2022-08-01 08:31:03.342217874,2022-08-01 10:11:20.538649
10,2022-08-01 08:35:06.417581824,2022-08-01 10:20:51.186415
11,2022-08-01 08:39:12.402519990,2022-08-01 10:33:04.527726
12,2022-08-01 08:39:23.827640444,2022-08-01 10:49:15.212293
13,2022-08-01 08:40:15.200580344,2022-08-01 10:53:28.484258
14,2022-08-01 08:47:14.332460265,2022-08-01 11:14:03.918231
15,2022-08-01 08:47:19.011811088,2022-08-01 11:11:46.137339
16,2022-08-01 08:59:05.238415560,2022-08-01 11:16:13.090939
17,2022-08-01 09:00:12.638242402,2022-08-01 11:17:03.142361
18,2022-08-01 09:13:03.562772133,2022-08-01 11:35:35.608216
19,2022-08-01 09:16:29.533323671,2022-08-01 11:43:16.693171
20,2022-08-01 09:18:52.250829199,2022-08-01 11:42:23.181045
21,2022-08-01 09:21:13.671493534,2022-08-01 11:42:35.341317
22,2022-08-01 09:23:28.615296303,2022-08-01 12:03:27.095176
23,2022-08-01 09:26:22.795522045,2022-08-01 12:06:22.158292
24,2022-08-01 09:27:32.518977165,2022-08-01 12:06:11.135909
25,2022-08-01 09:29:40.577172765,2022-08-01 12:07:47.912233
26,2022-08-01 09:32:56.162535335,2022-08-01 12:16:13.784612
27,2022-08-01 09:34:39.993361030,2022-08-01 12:12:51.423164
28,2022-08-01 09:36:06.314029825,2022-08-01 12:11:41.795557
29,2022-08-01 09:42:55.093240404,2022-08-01 12:26:10.799727
30,2022-08-01 09:43:24.474736967,2022-08-01 12:29:24.795746
31,2022-08-01 10:02:50.721173500,2022-08-01 12:29:38.159760
32,2022-08-01 10:03:42.811261397,2022-08-01 12:31:26.495724
33,2022-08-01 10:04:01.332649709,2022-08-01 12:39:38.503261
34,2022-08-01 10:04:13.293111892,2022-08-01 12:36:38.514631
35,2022-08-01 10:06:09.416850263,2022-08-01 12:43:06.834727
36,2022-08-01 10:09:50.043601883,2022-08-01 12:50:09.907162
37,2022-08-01 10:10:07.020778447,2022-08-01 12:52:23.613243
38,2022-08-01 10:11:14.774543426,2022-08-01 12:52:59.350397
39,2022-08-01 10:13:21.189409973,2022-08-01 12:59:16.439205
40,2022-08-01 10:17:12.380862685,2022-08-01 12:57:33.964488
41,2022-08-01 10:17:14.213151898,2022-08-01 13:03:01.426118
42,2022-08-01 10:23:01.278856493,2022-08-01 13:07:19.102479
43,2022-08-01 10:24:25.396700106,2022-08-01 13:15:27.106973
